iter	Passed	Remaining
0	0	57
1	1	72
2	2	81
3	3	80
4	4	80
5	5	81
6	6	81
7	6	79
8	7	77
9	8	76
10	9	75
11	10	75
12	11	74
13	12	74
14	13	75
15	14	75
16	15	74
17	16	73
18	17	72
19	17	71
20	18	70
21	19	69
22	20	68
23	21	66
24	22	66
25	23	65
26	23	64
27	24	63
28	25	62
29	26	60
30	26	59
31	27	58
32	28	57
33	28	55
34	29	54
35	30	53
36	30	52
37	31	51
38	32	50
39	32	49
40	33	47
41	33	46
42	34	45
43	34	44
44	35	43
45	35	42
46	36	41
47	37	40
48	37	39
49	38	38
50	38	37
51	39	36
52	40	35
53	40	34
54	41	33
55	41	32
56	42	31
57	42	30
58	43	30
59	43	29
60	44	28
61	45	27
62	45	26
63	46	25
64	46	25
65	47	24
66	47	23
67	48	22
68	48	21
69	49	21
70	49	20
71	50	19
72	50	18
73	51	18
74	51	17
75	52	16
76	52	15
77	53	15
78	53	14
79	54	13
80	54	12
81	55	12
82	55	11
83	56	10
84	56	10
85	57	9
86	57	8
87	58	7
88	58	7
89	59	6
90	59	5
91	60	5
92	60	4
93	61	3
94	61	3
95	62	2
96	62	1
97	63	1
98	63	0
99	64	0
