iter	Passed	Remaining
0	1	1368
1	2	1222
2	3	1179
3	4	1162
4	5	1128
5	6	1122
6	7	1099
7	8	1091
8	9	1074
9	10	1064
10	11	1062
11	12	1067
12	13	1058
13	15	1060
14	16	1056
15	18	1112
16	19	1105
17	20	1094
18	21	1086
19	22	1081
20	23	1077
21	24	1080
22	25	1076
23	26	1067
24	27	1063
25	28	1059
26	29	1053
27	30	1052
28	31	1052
29	32	1055
30	33	1051
31	34	1046
32	35	1052
33	36	1051
34	38	1049
35	39	1047
36	40	1044
37	41	1041
38	42	1038
39	43	1036
40	44	1039
41	45	1035
42	46	1030
43	47	1026
44	48	1025
45	49	1025
46	50	1022
47	51	1021
48	52	1018
49	53	1016
50	54	1013
51	55	1014
52	56	1012
53	57	1009
54	58	1007
55	59	1004
56	60	1001
57	61	1002
58	62	1001
59	63	997
60	64	994
61	65	990
62	66	987
63	67	989
64	68	989
65	69	987
66	70	984
67	71	979
68	72	975
69	73	976
70	74	976
71	75	976
72	76	975
73	77	972
74	78	968
75	79	965
76	80	966
77	81	964
78	82	962
79	83	959
80	84	956
81	85	952
82	85	944
83	86	946
84	87	944
85	88	942
86	89	941
87	90	938
88	91	936
89	92	936
90	93	933
91	94	931
92	95	928
93	96	925
94	96	923
95	97	922
96	99	921
97	99	919
98	100	917
99	101	915
100	102	914
101	103	911
102	104	911
103	105	912
104	106	912
105	108	910
106	109	910
107	110	909
108	111	908
109	112	909
110	113	908
111	114	908
112	115	906
113	116	906
114	118	909
115	119	910
116	120	908
117	121	908
118	123	912
119	124	916
120	126	918
121	127	917
122	128	918
123	130	923
124	132	927
125	134	931
126	135	931
127	137	934
128	138	934
129	139	935
130	141	936
131	143	940
132	144	941
133	145	943
134	147	944
135	148	945
136	150	947
137	151	948
138	153	949
139	154	950
140	156	951
141	157	949
142	158	950
143	160	951
144	161	953
145	163	955
146	164	954
147	165	954
148	167	955
149	168	957
150	170	957
151	171	957
152	173	958
153	174	960
154	176	962
155	178	964
156	179	965
157	181	967
158	183	968
159	184	968
160	185	965
161	186	967
162	188	968
163	190	968
164	191	969
165	193	972
166	195	973
167	196	973
168	198	974
169	199	975
170	201	977
171	203	978
172	205	981
173	207	984
174	208	985
175	210	987
176	212	988
177	214	990
